PWS ID,PWS Name,Contaminant,MCL,Location Has a Full Set of Results,Average Above MCL,Average Result,Facility ID,Facility Name,Sample Point ID,Sample Point Name,PWS Size,Facility Water Type,Sample Point Type,EPA Region,State
AZ0404032,PAYSON TOWN OF,PFOA,0.0040 æg/L,Y,Y,0.025,08932,Country Club #1 Well,EPDS010,Entry Point to Dist. System,L,GW,EP,Region 9,AZ
AZ0404032,PAYSON TOWN OF,PFOS,0.0040 æg/L,Y,Y,0.015,08932,Country Club #1 Well,EPDS010,Entry Point to Dist. System,L,GW,EP,Region 9,AZ
AZ0404032,PAYSON TOWN OF,PFOA,0.0040 æg/L,Y,Y,0.026,08933,Country Club #2 Well,EPDS011,Entry Point to Dist. System,L,GW,EP,Region 9,AZ
AZ0404032,PAYSON TOWN OF,PFOS,0.0040 æg/L,Y,Y,0.015,08933,Country Club #2 Well,EPDS011,Entry Point to Dist. System,L,GW,EP,Region 9,AZ
AZ0404032,PAYSON TOWN OF,Hazard Index (HI),1 (unitless),Y,Y,2,08934,Lake Drive Well,EPDS014,Entry Point to Dist. System,L,GW,EP,Region 9,AZ
AZ0404032,PAYSON TOWN OF,PFHxS,0.01 æg/L,Y,Y,0.02,08934,Lake Drive Well,EPDS014,Entry Point to Dist. System,L,GW,EP,Region 9,AZ
AZ0404032,PAYSON TOWN OF,PFOA,0.0040 æg/L,Y,Y,0.04,08934,Lake Drive Well,EPDS014,Entry Point to Dist. System,L,GW,EP,Region 9,AZ
AZ0404032,PAYSON TOWN OF,PFOS,0.0040 æg/L,Y,Y,0.034,08934,Lake Drive Well,EPDS014,Entry Point to Dist. System,L,GW,EP,Region 9,AZ
AZ0404032,PAYSON TOWN OF,PFOA,0.0040 æg/L,Y,Y,0.028,08935,Lakeshore Well,EPDS015,Entry Point to Dist. System,L,GW,EP,Region 9,AZ
AZ0404032,PAYSON TOWN OF,PFOS,0.0040 æg/L,Y,Y,0.037,08935,Lakeshore Well,EPDS015,Entry Point to Dist. System,L,GW,EP,Region 9,AZ
AZ0404032,PAYSON TOWN OF,PFOA,0.0040 æg/L,Y,Y,0.0047,08937,Random Well,EPDS017,Entry Point to Dist. System,L,GW,EP,Region 9,AZ
AZ0404032,PAYSON TOWN OF,Hazard Index (HI),1 (unitless),Y,Y,2,08938,Rodeo Grounds Well,EPDS018,Entry Point to Dist. System,L,GW,EP,Region 9,AZ
AZ0404032,PAYSON TOWN OF,PFHxS,0.01 æg/L,Y,Y,0.02,08938,Rodeo Grounds Well,EPDS018,Entry Point to Dist. System,L,GW,EP,Region 9,AZ
AZ0404032,PAYSON TOWN OF,PFOA,0.0040 æg/L,Y,Y,0.0089,08938,Rodeo Grounds Well,EPDS018,Entry Point to Dist. System,L,GW,EP,Region 9,AZ
AZ0404032,PAYSON TOWN OF,PFOS,0.0040 æg/L,Y,Y,0.027,08938,Rodeo Grounds Well,EPDS018,Entry Point to Dist. System,L,GW,EP,Region 9,AZ
AZ0404032,PAYSON TOWN OF,PFOA,0.0040 æg/L,Y,Y,0.015,08940,750K Well,EPDS020,Entry Point to Dist. System,L,GW,EP,Region 9,AZ
AZ0404032,PAYSON TOWN OF,PFOS,0.0040 æg/L,Y,Y,0.0079,08940,750K Well,EPDS020,Entry Point to Dist. System,L,GW,EP,Region 9,AZ
AZ0404032,PAYSON TOWN OF,PFOA,0.0040 æg/L,Y,Y,0.0052,08941,Woodland Meadows #2 Well,EPDS022,Entry Point to Dist. System,L,GW,EP,Region 9,AZ
AZ0404032,PAYSON TOWN OF,PFOS,0.0040 æg/L,Y,Y,0.0093,08941,Woodland Meadows #2 Well,EPDS022,Entry Point to Dist. System,L,GW,EP,Region 9,AZ
AZ0404032,PAYSON TOWN OF,PFOA,0.0040 æg/L,Y,Y,0.0047,08942,Stone Creek Well,EPDS023,Entry Point to Dist. System,L,GW,EP,Region 9,AZ
AZ0407046,LIBERTY WATER LPSCO,PFOA,0.0040 æg/L,Y,Y,0.0046,90001,Townwell Reservoir,POE001,Townwell Reservoir POE,L,GW,EP,Region 9,AZ
AZ0407046,LIBERTY WATER LPSCO,PFOA,0.0040 æg/L,Y,Y,0.0054,90002,Well 20-B,POE002,Well 20-B POE,L,GW,EP,Region 9,AZ
AZ0407046,LIBERTY WATER LPSCO,PFOS,0.0040 æg/L,Y,Y,0.006,90002,Well 20-B,POE002,Well 20-B POE,L,GW,EP,Region 9,AZ
AZ0407046,LIBERTY WATER LPSCO,PFOA,0.0040 æg/L,Y,Y,0.01,90003,Airline Reservoir,POE003,Airline Reservoir POE,L,GW,EP,Region 9,AZ
AZ0407046,LIBERTY WATER LPSCO,PFOS,0.0040 æg/L,Y,Y,0.012,90003,Airline Reservoir,POE003,Airline Reservoir POE,L,GW,EP,Region 9,AZ
AZ0407046,LIBERTY WATER LPSCO,PFOS,0.0040 æg/L,Y,Y,0.01,90005,Well 10 Airline,POE005,Well 10 Airline POE,L,GW,EP,Region 9,AZ
AZ0407046,LIBERTY WATER LPSCO,PFOS,0.0040 æg/L,Y,Y,0.0047,90006,Well 34-C,POE006,Well 34-C POE,L,GW,EP,Region 9,AZ
AZ0407046,LIBERTY WATER LPSCO,PFOS,0.0040 æg/L,Y,Y,0.0071,90007,Well Marbella 1,POE007,Well Marbella 1 POE,L,GW,EP,Region 9,AZ
AZ0407092,"GILBERT, TOWN OF",PFOS,0.0040 æg/L,Y,Y,0.0077,09219,EPDS007,EPDS007,EPDS007,L,GW,EP,Region 9,AZ
AZ0407094,GOODYEAR WATER DEPARTMENT,PFOA,0.0040 æg/L,Y,Y,0.0044,00118,EPDS018,EPDS018,EPDS018,L,GW,EP,Region 9,AZ
AZ0407094,GOODYEAR WATER DEPARTMENT,PFOS,0.0040 æg/L,Y,Y,0.0075,00118,EPDS018,EPDS018,EPDS018,L,GW,EP,Region 9,AZ
AZ0407305,USAF LUKE AIR FORCE BASE,PFOA,0.0040 æg/L,Y,Y,0.0097,10004,Consecutive Connection to Liberty Utilities,CC002,"Liberty Sampling Tap, Next to Bldg. 989",S,GW,EP,Region 9,AZ
AZ0407305,USAF LUKE AIR FORCE BASE,PFOS,0.0040 æg/L,Y,Y,0.012,10004,Consecutive Connection to Liberty Utilities,CC002,"Liberty Sampling Tap, Next to Bldg. 989",S,GW,EP,Region 9,AZ
AZ0410051,FLOWING WELLS IRRIGATION DISTRICT,PFOA,0.0040 æg/L,Y,Y,0.005,00220,EPDS071,EPDS071,EPDS071,L,GW,EP,Region 9,AZ
AZ0410051,FLOWING WELLS IRRIGATION DISTRICT,PFOS,0.0040 æg/L,Y,Y,0.005,00220,EPDS071,EPDS071,EPDS071,L,GW,EP,Region 9,AZ
AZ0412011,LIBERTY WATER RIO RICO,PFOS,0.0040 æg/L,Y,Y,0.017,10307,Well 6,EPDS006,Well 6,L,GW,EP,Region 9,AZ
AZ0412011,LIBERTY WATER RIO RICO,PFOA,0.0040 æg/L,Y,Y,0.008,10308,Well 8,EPDS002,Well 8,L,GW,EP,Region 9,AZ
AZ0412011,LIBERTY WATER RIO RICO,PFOS,0.0040 æg/L,Y,Y,0.031,10308,Well 8,EPDS002,Well 8,L,GW,EP,Region 9,AZ
AZ0412011,LIBERTY WATER RIO RICO,PFOA,0.0040 æg/L,Y,Y,0.0042,10310,Well 52,EPDS003,Well 52,L,GW,EP,Region 9,AZ
AZ0412011,LIBERTY WATER RIO RICO,PFOS,0.0040 æg/L,Y,Y,0.04,10310,Well 52,EPDS003,Well 52,L,GW,EP,Region 9,AZ
AZ0413012,BIG PARK WATER COMPANY,PFOA,0.0040 æg/L,Y,Y,0.011,10001,Big Park Well 1,EPDS001,BP1 Sample Tap,S,GW,EP,Region 9,AZ
AZ0413045,PRESCOTT CITY OF,PFOA,0.0040 æg/L,Y,Y,0.011,229228,C.O.P,EPDS013,EPDS013_AP5,L,GW,EP,Region 9,AZ
AZ0413045,PRESCOTT CITY OF,PFOS,0.0040 æg/L,Y,Y,0.0084,229228,C.O.P,EPDS013,EPDS013_AP5,L,GW,EP,Region 9,AZ
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,PFOS,0.0040 æg/L,Y,Y,0.0084,91813,Well 09-01 Blended (GWRMP),0110003813,LIV-S-009-B-C,L,MX,EP,Region 9,CA
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,PFOS,0.0040 æg/L,Y,Y,0.01,91827,Well 19-01 Blended,0110003827,LIV-S-019-B-A,L,MX,EP,Region 9,CA
CA0410002,CAL-WATER SERVICE CO.-CHICO,PFOS,0.0040 æg/L,Y,Y,0.0048,91806,Well 16-01-CL,0410002806,CH-W-016-01-CL,L,GW,EP,Region 9,CA
CA0410002,CAL-WATER SERVICE CO.-CHICO,Hazard Index (HI),1 (unitless),Y,Y,2,91815,Well 5-2,0410002815,EP #128 - CH-W-005-02-CL,L,GW,EP,Region 9,CA
CA0410002,CAL-WATER SERVICE CO.-CHICO,PFHxS,0.01 æg/L,Y,Y,0.02,91815,Well 5-2,0410002815,EP #128 - CH-W-005-02-CL,L,GW,EP,Region 9,CA
CA0410002,CAL-WATER SERVICE CO.-CHICO,PFOS,0.0040 æg/L,Y,Y,0.017,91815,Well 5-2,0410002815,EP #128 - CH-W-005-02-CL,L,GW,EP,Region 9,CA
CA0410002,CAL-WATER SERVICE CO.-CHICO,PFOS,0.0040 æg/L,Y,Y,0.0048,91822,Well 17-1,0410002822,EP #121 - CH-W-017-01-CL,L,GW,EP,Region 9,CA
CA0410002,CAL-WATER SERVICE CO.-CHICO,PFOS,0.0040 æg/L,Y,Y,0.013,91828,Well 23-1,0410002828,EP #115 - CH-W-023-01-CL,L,GW,EP,Region 9,CA
CA0410002,CAL-WATER SERVICE CO.-CHICO,PFOS,0.0040 æg/L,Y,Y,0.011,91875,Well 19-01-CL (GWRMP),0410002875,CH-W-019-01-CL,L,GW,EP,Region 9,CA
CA0410002,CAL-WATER SERVICE CO.-CHICO,PFOS,0.0040 æg/L,Y,Y,0.013,91877,Well 71-01-CL,0410002877,CH-W-071-01-CL,L,GW,EP,Region 9,CA
CA0910002,SOUTH TAHOE PUD - MAIN,PFOA,0.0040 æg/L,Y,Y,0.0056,91818,Clement Ave. Well,0910002818,EP #66 - Efflluent Tap - Clement Ave. Well,L,GW,EP,Region 9,CA
CA0910002,SOUTH TAHOE PUD - MAIN,PFOS,0.0040 æg/L,Y,Y,0.005,91818,Clement Ave. Well,0910002818,EP #66 - Efflluent Tap - Clement Ave. Well,L,GW,EP,Region 9,CA
CA1010003,CITY OF CLOVIS,PFOA,0.0040 æg/L,Y,Y,0.0094,91813,Well T-5,1010003813,EP #91 - Well T-5 Treated,L,GW,EP,Region 9,CA
CA1010003,CITY OF CLOVIS,PFOS,0.0040 æg/L,Y,Y,0.019,91813,Well T-5,1010003813,EP #91 - Well T-5 Treated,L,GW,EP,Region 9,CA
CA1010003,CITY OF CLOVIS,PFOA,0.0040 æg/L,Y,Y,0.0043,91822,Well 42,1010003822,EP #81 - Well 42 Treated,L,GW,EP,Region 9,CA
CA1010003,CITY OF CLOVIS,PFOS,0.0040 æg/L,Y,Y,0.0078,91822,Well 42,1010003822,EP #81 - Well 42 Treated,L,GW,EP,Region 9,CA
CA1010003,CITY OF CLOVIS,PFOS,0.0040 æg/L,Y,Y,0.0062,91831,Well T-6,1010003831,EP #63 - Well T-6 Treated,L,GW,EP,Region 9,CA
CA1010003,CITY OF CLOVIS,PFOA,0.0040 æg/L,Y,Y,0.016,91836,Well 32,1010003836,EP #58 - Well 32 Treated,L,GW,EP,Region 9,CA
CA1010003,CITY OF CLOVIS,PFOS,0.0040 æg/L,Y,Y,0.036,91836,Well 32,1010003836,EP #58 - Well 32 Treated,L,GW,EP,Region 9,CA
CA1010007,CITY OF FRESNO,Hazard Index (HI),1 (unitless),Y,Y,3,91654,Well 26B,1010007654,EP #694 - Well 26B,L,GW,EP,Region 9,CA
CA1010007,CITY OF FRESNO,PFHxS,0.01 æg/L,Y,Y,0.03,91654,Well 26B,1010007654,EP #694 - Well 26B,L,GW,EP,Region 9,CA
CA1010007,CITY OF FRESNO,PFOA,0.0040 æg/L,Y,Y,0.0089,91654,Well 26B,1010007654,EP #694 - Well 26B,L,GW,EP,Region 9,CA
CA1010007,CITY OF FRESNO,PFOS,0.0040 æg/L,Y,Y,0.015,91654,Well 26B,1010007654,EP #694 - Well 26B,L,GW,EP,Region 9,CA
CA1010007,CITY OF FRESNO,PFOS,0.0040 æg/L,Y,Y,0.0053,91659,Well 61A,1010007659,EP #708 - Well 61A,L,GW,EP,Region 9,CA
CA1010007,CITY OF FRESNO,PFOA,0.0040 æg/L,Y,Y,0.0065,91661,Well 140,1010007661,EP #567 - Well 140,L,GW,EP,Region 9,CA
CA1010007,CITY OF FRESNO,PFOA,0.0040 æg/L,Y,Y,0.014,91768,Well 92,1010007768,EP #636 - Well 92,L,GW,EP,Region 9,CA
CA1010007,CITY OF FRESNO,PFOS,0.0040 æg/L,Y,Y,0.022,91768,Well 92,1010007768,EP #636 - Well 92,L,GW,EP,Region 9,CA
CA1010007,CITY OF FRESNO,PFOS,0.0040 æg/L,Y,Y,0.0066,91781,Well 4B,1010007781,EP #612 - Well 4B,L,GW,EP,Region 9,CA
CA1010007,CITY OF FRESNO,Hazard Index (HI),1 (unitless),Y,Y,3,91823,Well 24B,1010007823,EP #549 - Well 24B,L,GW,EP,Region 9,CA
CA1010007,CITY OF FRESNO,PFHxS,0.01 æg/L,Y,Y,0.03,91823,Well 24B,1010007823,EP #549 - Well 24B,L,GW,EP,Region 9,CA
CA1010007,CITY OF FRESNO,PFOA,0.0040 æg/L,Y,Y,0.0053,91823,Well 24B,1010007823,EP #549 - Well 24B,L,GW,EP,Region 9,CA
CA1010007,CITY OF FRESNO,PFOS,0.0040 æg/L,Y,Y,0.0074,91823,Well 24B,1010007823,EP #549 - Well 24B,L,GW,EP,Region 9,CA
CA1010007,CITY OF FRESNO,PFOS,0.0040 æg/L,Y,Y,0.011,91866,Well 160,1010007866,EP #504 - Well 160,L,GW,EP,Region 9,CA
CA1010007,CITY OF FRESNO,PFOS,0.0040 æg/L,Y,Y,0.009,91898,Well 77,1010007898,EP #470 - Well 77,L,GW,EP,Region 9,CA
CA1010007,CITY OF FRESNO,PFOS,0.0040 æg/L,Y,Y,0.0047,91904,Well 68,1010007904,EP #464 - Well 68,L,GW,EP,Region 9,CA
CA1010007,CITY OF FRESNO,PFOA,0.0040 æg/L,Y,Y,0.0066,91912,Well 54,1010007912,EP #455 - Well 54,L,GW,EP,Region 9,CA
CA1010007,CITY OF FRESNO,PFOS,0.0040 æg/L,Y,Y,0.013,91912,Well 54,1010007912,EP #455 - Well 54,L,GW,EP,Region 9,CA
CA1010007,CITY OF FRESNO,PFOA,0.0040 æg/L,Y,Y,0.0045,91921,Well 37,1010007921,EP #444 - Well 37,L,GW,EP,Region 9,CA
CA1010007,CITY OF FRESNO,PFOS,0.0040 æg/L,Y,Y,0.0098,91921,Well 37,1010007921,EP #444 - Well 37,L,GW,EP,Region 9,CA
CA1010007,CITY OF FRESNO,PFOS,0.0040 æg/L,Y,Y,0.0051,91924,Well 33A,1010007924,EP #440 - Well 33A,L,GW,EP,Region 9,CA
CA1010007,CITY OF FRESNO,PFOA,0.0040 æg/L,Y,Y,0.0053,91939,Well 11A,1010007939,EP #424 - Well 11A,L,GW,EP,Region 9,CA
CA1010029,CITY OF SANGER,PFOA,0.0040 æg/L,Y,Y,0.0051,91803,Well 7A,1010029803,EP #20 - Well 7 Treated,L,GW,EP,Region 9,CA
CA1010029,CITY OF SANGER,PFOS,0.0040 æg/L,Y,Y,0.0063,91803,Well 7A,1010029803,EP #20 - Well 7 Treated,L,GW,EP,Region 9,CA
CA1010339,CALIFORNIA STATE UNIVERSITY FRESNO,PFOA,0.0040 æg/L,Y,Y,0.006,91802,Well 5,1010339802,EP #10 - Well 5 Treated,L,GW,EP,Region 9,CA
CA1510003,CWS - BAKERSFIELD,PFOS,0.0040 æg/L,Y,Y,0.014,91849,Well 105-1 (GWRMP),1510003849,BK-W-105-01-CL,L,GW,EP,Region 9,CA
CA1510003,CWS - BAKERSFIELD,PFOS,0.0040 æg/L,Y,Y,0.0049,91868,Well 145-1,1510003868,BK-W-145-01-CL,L,GW,EP,Region 9,CA
CA1510003,CWS - BAKERSFIELD,PFOS,0.0040 æg/L,Y,Y,0.006,91869,Well 149-1 (GWRMP),1510003869,BK-W-149-01-CL,L,GW,EP,Region 9,CA
CA1510003,CWS - BAKERSFIELD,PFOS,0.0040 æg/L,Y,Y,0.0046,91875,Well 158-1 (GWRMP),1510003875,BK-W-158-01-CL,L,GW,EP,Region 9,CA
CA1510003,CWS - BAKERSFIELD,PFOA,0.0040 æg/L,Y,Y,0.0046,91884,Well 184-1,1510003884,BK-W-184-01-CL,L,GW,EP,Region 9,CA
CA1510003,CWS - BAKERSFIELD,PFOS,0.0040 æg/L,Y,Y,0.0055,91884,Well 184-1,1510003884,BK-W-184-01-CL,L,GW,EP,Region 9,CA
CA1510003,CWS - BAKERSFIELD,PFOS,0.0040 æg/L,Y,Y,0.0063,99178,Well 7-07,1510003005,BK-W-007-07-CL,L,GW,EP,Region 9,CA
CA1510003,CWS - BAKERSFIELD,PFOS,0.0040 æg/L,Y,Y,0.011,99179,Well 62-02,1510003038,BK-W-062-02-CL,L,GW,EP,Region 9,CA
CA1900046,PETER PITCHESS HONOR RANCHO DETN. CTR,PFOA,0.0040 æg/L,Y,Y,0.0048,10002,Combined Wells Treatment,EP2,Sample Tap - Combined Wells Treatment,S,GW,EP,Region 9,CA
CA1900046,PETER PITCHESS HONOR RANCHO DETN. CTR,PFOS,0.0040 æg/L,Y,Y,0.006,10002,Combined Wells Treatment,EP2,Sample Tap - Combined Wells Treatment,S,GW,EP,Region 9,CA
CA1910003,CITY OF ARCADIA,PFOS,0.0040 æg/L,Y,Y,0.0094,91811,Peck Well 1,1910003811,EP #30: Wellhead Sample Point,L,GW,EP,Region 9,CA
CA1910004,GSWC - ARTESIA,PFOS,0.0040 æg/L,Y,Y,0.012,91819,Roseton 1,1910004819,Roseton 1 EP,L,GW,EP,Region 9,CA
CA1910004,GSWC - ARTESIA,PFOS,0.0040 æg/L,Y,Y,0.01,91826,Roseton 2,1910004826,Roseton 2 EP,L,GW,EP,Region 9,CA
